发布时间,新闻标题,URL,影响评分
2024-05-16,解约！大华所涉金通灵造假案遭重罚 伊利股份、华谊兄弟等超40家上市公司取消合作,http://finance.eastmoney.com/a/202405163078620022.html,-2
2024-05-16,伊利股份：融资余额38.26亿元，创近一年新高（05-15）,http://stock.eastmoney.com/a/202405163077994281.html,2
2024-05-15,多只百亿基金业绩“回血”；张坤加仓伊利股份,http://finance.eastmoney.com/a/202405153077472147.html,2
2024-05-15,基金增减仓丨伊利股份：张坤的易方达蓝筹精选混合加仓,http://finance.eastmoney.com/a/202405153076925976.html,2
2024-05-15,伊利股份：融资净买入3543.18万元，融资余额38亿元（05-14）,http://stock.eastmoney.com/a/202405153076552171.html,1
2024-05-14,大宗交易：伊利股份成交2061.64万元，成交价27.86元（05-14）,http://stock.eastmoney.com/a/202405143076214379.html,0
2024-05-14,伊利股份：融资净偿还1700.79万元，融资余额37.64亿元（05-13）,http://stock.eastmoney.com/a/202405143075404843.html,-1
2024-05-13,伊利股份居首！杠杆资金最新抢筹股曝光,http://finance.eastmoney.com/a/202405133074641451.html,3
2024-05-13,伊利股份、长江电力等19股上周获融资净买入超2亿元,http://finance.eastmoney.com/a/202405133074333675.html,3
2024-05-11,伊利股份：融资净买入1.49亿元，两市排名第三（05-10）,http://stock.eastmoney.com/a/202405113073560844.html,2
2024-05-10,中远海控、伊利股份等7股获融资净买入超1亿元,http://stock.eastmoney.com/a/202405103072557348.html,1
2024-05-10,伊利股份：融资净买入1.17亿元，两市排名第三（05-09）,http://stock.eastmoney.com/a/202405103072132619.html,3
2024-05-09,伊利股份：以科技创新和数智升级引领中国乳业走向世界,http://finance.eastmoney.com/a/202405093071430334.html,3
2024-05-09,伊利股份：融资净买入8202.66万元，两市排名第12（05-08）,http://stock.eastmoney.com/a/202405093070791124.html,2
2024-05-08,伊利股份：冷饮行业的增长机会主要来自结构提升和内部整合,http://finance.eastmoney.com/a/202405083070306014.html,2
2024-05-08,江苏银行、伊利股份等3股获融资净买入超1亿元,http://finance.eastmoney.com/a/202405083069810281.html,2
2024-05-08,伊利股份：融资净买入1.78亿元，创近一年新高（05-07）,http://stock.eastmoney.com/a/202405083069461585.html,1
2024-05-07,伊利股份：连续4日融资净买入累计1.86亿元（05-06）,http://stock.eastmoney.com/a/202405073068103989.html,2
2024-05-01,伊利股份：融资净买入4753.43万元，两市排名第18（04-30）,http://stock.eastmoney.com/a/202405013065881020.html,2
2024-04-30,伊利股份：以全产业链数智化战略实现“新质生产力” 2023年营收净利创历史新高,http://finance.eastmoney.com/a/202404303065784734.html,4
2024-04-30,伊利股份：连续31年营收持续增长 亚洲第一引领行业数智化转型,http://finance.eastmoney.com/a/202404303065670192.html,4
2024-04-30,伊利股份2024年一季度收入短期承压 利润亮眼,http://finance.eastmoney.com/a/202404303065669229.html,3
2024-04-30,伊利股份：4月30日召开董事会会议,http://finance.eastmoney.com/a/202404303065631311.html,0
2024-04-30,伊利股份：聘任王晓刚为公司副总裁,http://finance.eastmoney.com/a/202404303065631046.html,0
2024-04-30,伊利股份：董事会聘任王晓刚为公司副总裁,http://finance.eastmoney.com/a/202404303065580776.html,0
2024-04-30,伊利股份：董事会聘任王晓刚为公司副总裁,http://finance.eastmoney.com/a/202404303065588224.html,0
2024-04-30,伊利股份2023年实现营收1261.79亿元 全链数智化成关键驱动力,http://finance.eastmoney.com/a/202404303065451298.html,3
2024-04-30,伊利股份：少有的稳健高增长消费品龙头，盈利首次突破100亿元！连续13年大手笔分红，最新股息率超4%,http://finance.eastmoney.com/a/202404303064781654.html,3
2024-04-30,伊利股份：融资净买入2137.72万元，融资余额31亿元（04-29）,http://stock.eastmoney.com/a/202404303064768611.html,1
2024-04-29,伊利股份股东户数下降9.79%，户均持股37.39万元,http://stock.eastmoney.com/a/202404293064211637.html,-2
2024-04-29,伊利股份2023年营收1261.79亿元 全面创新、全链数智化成关键驱动力,http://finance.eastmoney.com/a/202404293064161953.html,3
2024-04-29,伊利股份2023年营收1261.79亿元 拟分红76.39亿元,http://finance.eastmoney.com/a/202404293064155090.html,3
2024-04-29,伊利股份：拟回购10亿元-20亿元公司股份,http://finance.eastmoney.com/a/202404293064945021.html,1
2024-04-29,伊利股份去年营收净利同比双增 液体乳业务营收超855亿元,http://finance.eastmoney.com/a/202404293064094871.html,3
2024-04-29,伊利股份：一季度净利同比增长63.84% 拟以10亿元-20亿元回购股份并注销,http://finance.eastmoney.com/a/202404293064092843.html,3
2024-04-29,伊利股份2023年营收超1257亿元 净利润增长一成,http://finance.eastmoney.com/a/202404293064072475.html,3
2024-04-29,伊利股份：2023净利同比增10.58% 拟10派12元,http://finance.eastmoney.com/a/202404293064053952.html,3
2024-04-29,伊利股份：拟以10亿元-20亿元回购股份,http://finance.eastmoney.com/a/202404293064044025.html,3
2024-04-29,伊利股份：拟10亿元—20亿元回购股份,http://finance.eastmoney.com/a/202404293064024424.html,3
2024-04-29,伊利股份：一季度净利同比增长63.84% 拟以10亿元~20亿元回购股份,http://finance.eastmoney.com/a/202404293064021521.html,4
2024-04-29,伊利股份：拟10亿元-20亿元回购股份,http://finance.eastmoney.com/a/202404293064019071.html,4
2024-04-29,伊利股份：拟回购10亿元-20亿元公司股份 回购价不超41.88元/股,http://finance.eastmoney.com/a/202404293064016178.html,1
2024-04-29,伊利股份：2023年归母净利润104.29亿元 同比增长10.58% 拟10派12元,http://finance.eastmoney.com/a/202404293064003654.html,3
2024-04-29,伊利股份：一季度归母净利润59.23亿元 同比增长63.84%,http://finance.eastmoney.com/a/202404293064004020.html,3
2024-04-29,伊利股份：拟以10亿元-20亿元回购股份,http://finance.eastmoney.com/a/202404293063997458.html,2
2024-04-27,伊利股份：融资净买入964.08万元，融资余额30.79亿元（04-26）,http://stock.eastmoney.com/a/202404273062019687.html,1
2024-04-26,伊利股份：融资净偿还468.91万元，融资余额30.69亿元（04-25）,http://stock.eastmoney.com/a/202404263060266345.html,-1
2024-04-25,伊利股份：融资净买入30.75万元，融资余额30.74亿元（04-24）,http://stock.eastmoney.com/a/202404253058506844.html,1
