发布时间,新闻标题,URL,影响评分
2024/4/30,科大讯飞4月30日大宗交易成交1.58亿元,http://finance.eastmoney.com/a/202404303065664380.html,-2
2024/4/30,大宗交易：科大讯飞成交1.58亿元，折价0.24%（04-30）,http://stock.eastmoney.com/a/202404303065633362.html,3
2024/4/30,传智教育与科大讯飞达成战略合作,http://finance.eastmoney.com/a/202404303065627636.html,2
2024/4/30,中关村论坛年会闭幕 科大讯飞智能语音技术为大会提供多项服务,http://finance.eastmoney.com/a/202404303065571712.html,3
2024/4/30,科大讯飞：连续4日融资净偿还累计1.22亿元（04-29）,http://stock.eastmoney.com/a/202404303064839977.html,-2
2024/4/29,科大讯飞发布业界首个长文本、长图文、长语音大模型,http://finance.eastmoney.com/a/202404293064153578.html,3
2024/4/29,科大讯飞投资成立聆智科技公司 含多项AI业务,http://finance.eastmoney.com/a/202404293063682923.html,2
2024/4/29,科大讯飞：连续3日融资净偿还累计1.07亿元（04-26）,http://stock.eastmoney.com/a/202404293062982916.html,-2
2024/4/28,科大讯飞和中国移动拟在青海落地“移动讯飞”智算数据中心,http://finance.eastmoney.com/a/202404283062732779.html,3
2024/4/28,银河证券“走进上市公司”新一站：实探科大讯飞 洞察人工智能新趋势,http://finance.eastmoney.com/a/202404283062474386.html,1
2024/4/28,西南证券给予科大讯飞买入评级,http://finance.eastmoney.com/a/202404283062446481.html,3
2024/4/27,科大讯飞：将于5月在京东、天猫等电商平台上新搭载星火大模型的语音台历,http://finance.eastmoney.com/a/202404273062355779.html,2
2024/4/27,科大讯飞04月26日获深股通增持119.66万股,http://stock.eastmoney.com/a/202404273061731553.html,2
2024/4/27,【调研快报】科大讯飞接待中信兴业投资等多家机构调研,http://stock.eastmoney.com/a/202404273061663589.html,2
2024/4/26,科大讯飞：接受日本三菱资管等机构调研,http://finance.eastmoney.com/a/202404263061604959.html,2
2024/4/26,科大讯飞发布首个长文本、长图文、长语音的大模型,http://finance.eastmoney.com/a/202404263061592834.html,4
2024/4/26,科大讯飞发布首个长文本、长图文、长语音的大模型,http://finance.eastmoney.com/a/202404263061511934.html,3
2024/4/26,科大讯飞发布首个长文本、长图文、长语音的大模型,http://finance.eastmoney.com/a/202404263061478236.html,3
2024/4/26,人工智能助力出海！科大讯飞多语种技术助力民族品牌出口,http://finance.eastmoney.com/a/202404263061416637.html,3
2024/4/26,科大讯飞推出长文本、长图文、长语音大模型,http://finance.eastmoney.com/a/202404263061362552.html,3
2024/4/26,科大讯飞星火大模型更新 推出长文本、长图文、长语音大模型,http://finance.eastmoney.com/a/202404263061176138.html,3
2024/4/26,科大讯飞：发布业界首个长文本、长图文、长语音大模型,http://finance.eastmoney.com/a/202404263061151392.html,3
2024/4/26,“知识助手”来了！科大讯飞发布首个长文本、长图文、长语音的大模型,http://finance.eastmoney.com/a/202404263061155186.html,4
2024/4/26,科大讯飞发布业界首个长文本、长图文、长语音大模型,http://finance.eastmoney.com/a/202404263061033128.html,3
2024/4/26,科大讯飞发布首个支持长文本、长图文、长语音的大模型,http://finance.eastmoney.com/a/202404263060853196.html,3
2024/4/26,科大讯飞：融资净偿还3925.14万元，融资余额78.83亿元（04-25）,http://stock.eastmoney.com/a/202404263060386694.html,-2
2024/4/26,科大讯飞04月25日被深股通减持145.73万股,http://stock.eastmoney.com/a/202404263059979634.html,-2
2024/4/25,科大讯飞2023交卷：星火高频迭代即将对标GPT-4 Turbo，C端智能硬件GMV同比增长84%,http://finance.eastmoney.com/a/202404253059326148.html,3
2024/4/25,中银证券给予科大讯飞买入评级，一季度收入延续增长态势，大模型实现多领域落地,http://finance.eastmoney.com/a/202404253059072085.html,2
2024/4/25,科大讯飞：融资净偿还2200.99万元，融资余额79.22亿元（04-24）,http://stock.eastmoney.com/a/202404253058596679.html,2
2024/4/24,科大讯飞的2023：饱和投入星火大模型迎来收获期 C端智能硬件落地成效显著,http://finance.eastmoney.com/a/202404243057787122.html,3
2024/4/24,科大讯飞业绩变动：大模型效果显现 业务结构占比调整,http://finance.eastmoney.com/a/202404243057756514.html,-2
2024/4/24,科大讯飞2023年C端业务增速超B端 平台消费者业务收入最多,http://finance.eastmoney.com/a/202404243057752382.html,2
2024/4/24,开源证券发布科大讯飞研报，公司信息更新报告：2024Q1收入较快增长，星火大模型持续升级,http://finance.eastmoney.com/a/202404243057555023.html,2
2024/4/24,科大讯飞业绩说明会：经营保持韧性增长,http://finance.eastmoney.com/a/202404243057510316.html,3
2024/4/24,科大讯飞：2024年首季毛利率下降非公司竞争力降低造成 全年毛利率预计与以前水平基本一致,http://finance.eastmoney.com/a/202404243057353263.html,2
2024/4/24,直击业绩说明会丨科大讯飞刘庆峰：主动放缓甚至放弃部分G端业务，预计今年50%研发投入用于大模型底座建设,http://finance.eastmoney.com/a/202404243057338658.html,2
2024/4/24,【调研快报】科大讯飞接待CICC等多家机构调研,http://stock.eastmoney.com/a/202404243057308268.html,2
2024/4/24,科大讯飞刘庆峰：预计2024年50%的研发投入将用于大模型底座建设,http://finance.eastmoney.com/a/202404243057294176.html,3
2024/4/24,科大讯飞召开业绩说明会：经营保持韧性增长,http://finance.eastmoney.com/a/202404243057178195.html,2
2024/4/24,科大讯飞：融资净买入5700.62万元，两市排名第11（04-23）,http://stock.eastmoney.com/a/202404243056885846.html,0
2024/4/24,科大讯飞：预计6月讯飞星火能够对标GPT-4 turbo当前最好水平,http://finance.eastmoney.com/a/202404243056785512.html,-4
2024/4/24,科大讯飞04月23日被深股通减持451.65万股,http://stock.eastmoney.com/a/202404243056445342.html,-2
2024/4/23,科大讯飞：饱和投入 奔向星火燎原,http://finance.eastmoney.com/a/202404233056336114.html,2
2024/4/23,多位投资者追问为何Q1毛利率波动？科大讯飞：正加大三块业务向C端调整力度|直击业绩会,http://finance.eastmoney.com/a/202404233056323610.html,2
2024/4/23,业绩季节性特点显著 科大讯飞财报引关注：刘庆峰称2024年利润将好过2023年,http://finance.eastmoney.com/a/202404233056262972.html,2
2024/4/23,科大讯飞刘庆峰：中美通用大模型差距在半年到一年半，如果不做闭源，开源也做不到最好,http://finance.eastmoney.com/a/202404233056252720.html,-2
2024/4/23,科大讯飞2023年营收196.5亿元 平台消费者业务已成第一大业务,http://finance.eastmoney.com/a/202404233055959325.html,-2
2024/4/23,科大讯飞跌超5% 数据ETF（516000）近两日获资金逆势布局 最强开源大模型Llama3问世,http://finance.eastmoney.com/a/202404233055905744.html,3
2024/4/23,科大讯飞：一季度营收同比增长26.27%,http://finance.eastmoney.com/a/202404233055846563.html,2
2024/4/23,星火大模型加持 科大讯飞2023年净利润增长17%,http://finance.eastmoney.com/a/202404233055745727.html,4
2024/4/23,科大讯飞一季度亏损扩大至3亿元，下半年对标GPT-4V和DALL-E3,http://finance.eastmoney.com/a/202404233055697690.html,-2
2024/4/23,消息称苹果正自研设备端大型语言模型；科大讯飞2023年Q4营收增幅显著回升；英伟达美股反弹4.35%|AI daily早新闻,http://finance.eastmoney.com/a/202404233055685067.html,2
2024/4/23,科大讯飞：融资净偿还2816.87万元，融资余额78.87亿元（04-22）,http://stock.eastmoney.com/a/202404233055288653.html,2
2024/4/23,科大讯飞2023年报出炉 净利同比增长17.12%,http://finance.eastmoney.com/a/202404233055246224.html,3
2024/4/23,一季度亏超3亿元 千亿级AI龙头科大讯飞公告！,http://finance.eastmoney.com/a/202404233055220863.html,-3
2024/4/23,科大讯飞副总裁李剑峰一行到读者出版集团参观交流,http://finance.eastmoney.com/a/202404233055217964.html,2
2024/4/23,科大讯飞04月22日获深股通增持365.49万股,http://stock.eastmoney.com/a/202404233054819311.html,2
2024/4/22,科大讯飞股东户数增加1.82%，户均持股33.26万元,http://stock.eastmoney.com/a/202404223054709553.html,2
2024/4/22,科大讯飞最大业务板块“易主”：星火高频迭代、C端硬件高速增长 平台消费者业务已成第一大业务,http://finance.eastmoney.com/a/202404223054697168.html,3
2024/4/22,同比增长17.12%！科大讯飞2023年业绩揭晓,http://finance.eastmoney.com/a/202404223054680742.html,2
2024/4/22,科大讯飞2023年归母净利润6.57亿元 同比增长17.12%,http://finance.eastmoney.com/a/202404223054672688.html,3
2024/4/22,科大讯飞：4月19日召开董事会会议,http://finance.eastmoney.com/a/202404223054664067.html,2
2024/4/22,科大讯飞2023年度净利润同比增长17.12%,http://finance.eastmoney.com/a/202404223054643331.html,2
2024/4/22,科大讯飞：开放平台及消费者业务跃居最大业务板块,http://finance.eastmoney.com/a/202404223054636447.html,3
2024/4/22,科大讯飞：2023年净利润6.57亿元 同比增长17.12%,http://finance.eastmoney.com/a/202404223054628760.html,-2
2024/4/22,2023年科大讯飞C端智能硬件GMV同比增长84%,http://finance.eastmoney.com/a/202404223054625859.html,3
2024/4/22,星火赋能，C端智能硬件GMV同比增长84%！平台消费者业务已成科大讯飞第一大业务,http://finance.eastmoney.com/a/202404223054625770.html,3
2024/4/22,科大讯飞：讯飞星火V3.5即将更新 支持长文本、长图文及长语音,http://finance.eastmoney.com/a/202404223054618716.html,3
2024/4/22,科大讯飞：4月21日召开董事会会议,http://finance.eastmoney.com/a/202404223054617642.html,0
2024/4/22,科大讯飞将于5月13日召开股东大会,http://finance.eastmoney.com/a/202404223054615176.html,2
2024/4/22,科大讯飞：2024年一季度净亏损3亿元,http://finance.eastmoney.com/a/202404223054609495.html,-3
2024/4/22,科大讯飞：融资净偿还4527.61万元，融资余额79.15亿元（04-19）,http://stock.eastmoney.com/a/202404223053466459.html,-1
2024/4/20,上海交通大学人工智能学院来了！还将与华为、科大讯飞、商汤科技等9家单位进行校企合作,http://finance.eastmoney.com/a/202404203053053215.html,2
2024/4/20,科大讯飞04月19日获深股通增持91.12万股,http://stock.eastmoney.com/a/202404203052575776.html,2
2024/4/19,科大讯飞：融资净买入1030.86万元，融资余额79.6亿元（04-18）,http://stock.eastmoney.com/a/202404193051395940.html,1
2024/4/19,科大讯飞04月18日被深股通减持155.01万股,http://stock.eastmoney.com/a/202404193050988070.html,-2
2024/4/18,科大讯飞：“AI评标师”已上岗 助力企业内部提质增效,http://finance.eastmoney.com/a/202404183050787568.html,3
2024/4/18,福石控股子公司携手百度智能云、科大讯飞推出基于AI的全链路智能营销平台,http://finance.eastmoney.com/a/202404183050759665.html,2
2024/4/18,科大讯飞携全线大模型升级C端产品亮相第四届消博会,http://finance.eastmoney.com/a/202404183050419049.html,3
2024/4/18,科大讯飞：融资净买入5223.68万元，融资余额79.5亿元（04-17）,http://stock.eastmoney.com/a/202404183049700397.html,2
2024/4/18,科大讯飞04月17日被深股通减持131.39万股,http://stock.eastmoney.com/a/202404183049283549.html,1
2024/4/17,科大讯飞：业绩说明会定于4月23日举行,http://finance.eastmoney.com/a/202404173048984884.html,0
2024/4/17,科大讯飞战文宇：讯飞星火许多能力已超GPT-4,http://finance.eastmoney.com/a/202404173048848397.html,3
2024/4/17,国际组织WDTA首次就大模型安全发布国际标准 蚂蚁集团、OpenAI、科大讯飞等参编,http://finance.eastmoney.com/a/202404173048763241.html,2
